tcm,tcm_index,target_gene_id
连花清瘟颗粒/胶囊,tcm-0007,3037
连花清瘟颗粒/胶囊,tcm-0007,993
连花清瘟颗粒/胶囊,tcm-0007,7157
连花清瘟颗粒/胶囊,tcm-0007,23542
连花清瘟颗粒/胶囊,tcm-0007,5111
连花清瘟颗粒/胶囊,tcm-0007,1017
连花清瘟颗粒/胶囊,tcm-0007,3067
连花清瘟颗粒/胶囊,tcm-0007,1019
连花清瘟颗粒/胶囊,tcm-0007,1021
连花清瘟颗粒/胶囊,tcm-0007,1026
连花清瘟颗粒/胶囊,tcm-0007,23554
连花清瘟颗粒/胶囊,tcm-0007,1029
连花清瘟颗粒/胶囊,tcm-0007,132112
连花清瘟颗粒/胶囊,tcm-0007,3091
